timestamp,CB-X1,CB-X23,CB-B1,CB-C1,CB-D1,CB-A12,S-X1-AD,S-X1-FG,S-X2-AD,S-X2-DE
2023-01-02 14:00:00,120.56,131.5,99.38,71.4,160.02,84.79,71.14,37.67,70.95,42.26
2023-01-02 15:00:00,138.16,156.86,122.44,76.91,181.6,90.06,80.65,43.91,75.21,48.79
2023-01-02 16:00:00,155.48,160.45,130.67,91.15,206.67,107.94,85.15,47.73,86.18,54.61
2023-01-02 17:00:00,167.68,173.14,135.97,94.7,223.49,115.52,98.48,49.13,95.84,55.81
2023-01-02 18:00:00,164.63,196.44,138.61,101.01,228.08,120.3,106.29,52.03,92.06,61.84
2023-01-02 19:00:00,167.76,185.18,150.88,100.62,214.79,124.4,90.79,49.33,97.26,56.53
2023-01-02 20:00:00,162.25,159.99,132.59,92.55,197.5,106.61,91.88,50.13,85.14,50.67
2023-01-02 21:00:00,131.19,158.76,117.06,82.72,175.57,94.34,83.73,42.91,78.61,46.65
2023-01-02 22:00:00,126.78,141.54,103.49,77.92,150.69,85.55,72.08,35.38,67.08,43.54
2023-01-02 23:00:00,111.29,125.97,92.02,63.08,145.13,80.4,62.43,33.48,62.28,39.32
2023-01-03 00:00:00,92.48,95.93,81.7,53.16,123.81,67.49,55.9,28.99,49.67,34.35
2023-01-03 01:00:00,101.22,103.83,81.06,56.75,121.81,63.54,55.75,28.63,49.81,34.58
2023-01-03 02:00:00,97.12,100.27,83.19,55.36,124.7,71.64,54.72,29.27,56.42,32.1
2023-01-03 03:00:00,90.63,102.43,74.33,52.09,121.11,65.1,54.1,26.7,57.95,31.59
2023-01-03 04:00:00,94.85,97.68,81.08,56.18,119.74,66.2,52.22,27.99,52.78,34.36
2023-01-03 05:00:00,96.51,109.67,79.81,58.65,114.51,64.66,57.75,28.95,53.08,33.37
2023-01-03 06:00:00,93.98,100.9,81.62,51.89,119.46,63.43,54.91,27.36,51.24,32.91
2023-01-03 07:00:00,96.9,104.44,80.78,55.4,121.95,68.42,53.33,27.06,52.98,33.41
2023-01-03 08:00:00,94.53,106.47,73.8,53.15,123.47,64.35,58.24,30.17,52.65,31.94
2023-01-03 09:00:00,97.31,106.16,79.53,57.95,120.87,67.29,52.94,27.14,52.35,31.16
2023-01-03 10:00:00,100.85,106.46,84.58,57.53,121.3,69.03,52.95,29.52,54.74,33.67
2023-01-03 11:00:00,95.9,105.88,84.3,57.7,123.89,69.37,58.04,30.53,56.2,33.77
2023-01-03 12:00:00,103.49,113.18,83.24,61.78,133.11,75.76,62.12,30.32,53.87,36.15
2023-01-03 13:00:00,109.03,120.19,86.85,62.12,139.37,76.14,65.75,33.82,61.01,40.11
2023-01-03 14:00:00,123.62,123.81,107.33,72.03,155.09,85.44,71.49,39.14,69.01,43.86
2023-01-03 15:00:00,132.94,156.9,116.49,79.48,172.87,95.75,81.92,39.8,77.64,49.28
2023-01-03 16:00:00,151.74,165.55,131.79,86.41,196.38,108.5,90.19,47.4,87.59,55.27
2023-01-03 17:00:00,166.16,179.52,135.92,103.53,210.3,110.19,100.05,49.92,90.57,57.93
2023-01-03 18:00:00,177.41,185.27,149.28,97.89,217.14,115.25,98.16,52.01,101.17,63.08
2023-01-03 19:00:00,174.02,173.96,138.89,95.26,226.67,116.7,98.44,49.09,84.54,57.77
2023-01-03 20:00:00,147.7,162.09,128.63,87.49,197.18,106.97,83.83,46.43,86.56,55.61
2023-01-03 21:00:00,134.84,142.02,111.15,82.63,164.8,92.41,80.75,43.62,76.43,46.35
2023-01-03 22:00:00,125.86,136.72,103.44,70.41,155.89,84.97,74.74,40.53,67.34,41.88
2023-01-03 23:00:00,103.1,126.13,93.82,65.87,141.55,79.18,68.7,35.52,60.6,36.98
2023-01-04 00:00:00,93.07,103.66,76.46,54.6,125.1,66.95,57.65,29.1,51.29,32.67
2023-01-04 01:00:00,94.28,99.24,77.63,53.45,128.79,64.68,52.96,29.48,54.68,33.17
2023-01-04 02:00:00,98.76,108.12,80.47,52.29,117.73,66.35,54.26,29.93,51.52,33.16
2023-01-04 03:00:00,96.88,102.23,75.67,52.55,121.39,67.99,52.63,30.02,51.24,31.55
2023-01-04 04:00:00,93.52,97.62,80.13,49.4,119.71,64.65,53.29,28.38,52.64,31.18
2023-01-04 05:00:00,93.38,96.58,81.64,53.66,120.5,69.16,52.29,27.46,52.33,34.26
2023-01-04 06:00:00,93.78,104.05,79.15,56.17,123.17,63.46,51.45,27.38,53.43,33.77
2023-01-04 07:00:00,99.69,108.66,75.31,56.44,124.44,66.24,56.61,27.59,51.17,34.98
2023-01-04 08:00:00,93.33,102.16,79.03,56.82,121.46,68.56,56.6,29.26,51.69,35.17
2023-01-04 09:00:00,94.08,101.61,82.68,53.47,121.26,67.45,56.53,29.18,51.45,31.73
2023-01-04 10:00:00,97.2,103.93,80.45,52.69,121.17,69.74,56.9,27.75,54.27,34.41
2023-01-04 11:00:00,97.8,104.15,78.38,57.43,133.4,70.58,57.78,30.79,56.37,35.52
2023-01-04 12:00:00,102.05,110.15,88.4,58.98,129.5,69.52,60.87,31.03,54.16,34.92
2023-01-04 13:00:00,106.5,122.18,93.9,65.64,141.21,80.98,66.16,32.82,59.97,37.81
2023-01-04 14:00:00,123.02,131.09,107.98,71.34,164.49,82.76,76.03,37.57,69.74,42.59
2023-01-04 15:00:00,136.55,156.52,121.95,81.51,180.85,96.42,76.1,44.37,77.98,45.23
2023-01-04 16:00:00,161.2,163.46,132.94,87.17,199.3,110.58,92.11,42.83,89.66,55.56
2023-01-04 17:00:00,171.13,187.38,138.79,98.72,216.67,118.71,95.28,48.92,91.37,58.46
2023-01-04 18:00:00,171.85,190.24,133.62,96.18,227.76,122.09,102.06,53.82,97.56,61.04
2023-01-04 19:00:00,171.22,180.37,130.04,103.55,218.35,117.85,94.68,46.53,90.1,53.9
2023-01-04 20:00:00,153.04,167.49,128.8,89.22,195.79,108.31,91.68,47.27,92.0,52.48
2023-01-04 21:00:00,143.81,149.85,113.37,79.88,192.56,89.8,80.62,41.23,79.63,45.74
2023-01-04 22:00:00,123.05,142.4,102.84,69.09,153.06,87.35,72.06,38.92,69.69,43.03
2023-01-04 23:00:00,113.09,117.67,89.4,62.33,143.33,76.87,64.49,33.46,62.07,39.3
2023-01-05 00:00:00,90.33,107.68,76.35,55.5,120.7,62.32,55.59,27.12,51.68,31.06
2023-01-05 01:00:00,95.75,107.03,81.91,57.76,118.92,65.91,55.55,27.45,56.36,34.21
2023-01-05 02:00:00,89.01,102.15,79.82,55.24,122.45,65.12,51.82,29.39,58.75,32.02
2023-01-05 03:00:00,87.86,109.23,79.26,54.62,117.87,62.28,53.31,28.81,50.9,30.63
2023-01-05 04:00:00,93.59,94.77,83.59,53.48,126.09,64.69,56.62,30.43,52.99,33.98
2023-01-05 05:00:00,91.62,104.27,77.11,54.45,123.33,64.33,52.73,26.54,53.55,31.59
2023-01-05 06:00:00,95.15,103.85,80.33,58.49,116.78,65.16,61.88,26.38,53.63,33.4
2023-01-05 07:00:00,102.08,103.49,76.49,53.43,119.47,68.78,54.32,29.63,53.75,32.84
2023-01-05 08:00:00,91.99,106.58,78.01,55.28,121.87,66.01,52.58,27.98,50.21,33.83
2023-01-05 09:00:00,93.01,102.46,79.75,55.02,117.6,68.28,52.64,28.59,52.12,31.29
2023-01-05 10:00:00,96.71,104.24,79.65,56.78,124.46,68.26,56.95,29.37,53.33,33.59
2023-01-05 11:00:00,99.91,111.65,80.01,55.89,128.62,71.13,55.15,30.11,54.39,35.62
2023-01-05 12:00:00,102.12,111.84,84.93,56.27,125.03,75.87,58.71,32.94,55.62,37.14
2023-01-05 13:00:00,110.03,116.72,95.7,63.0,140.65,77.2,67.5,33.47,60.47,41.38
2023-01-05 14:00:00,126.1,137.18,99.87,69.62,153.69,85.45,73.36,35.68,67.49,44.0
2023-01-05 15:00:00,141.23,151.13,110.69,79.19,174.23,95.85,80.82,44.28,82.65,49.34
2023-01-05 16:00:00,149.28,165.9,136.4,84.44,187.74,103.93,89.69,45.61,84.25,54.71
2023-01-05 17:00:00,166.85,186.37,133.21,98.04,217.4,117.65,98.8,46.51,97.13,58.74
2023-01-05 18:00:00,172.21,182.88,142.17,94.47,213.02,118.13,103.49,52.34,85.77,58.68
2023-01-05 19:00:00,161.14,176.55,133.59,102.5,214.5,116.21,96.46,50.08,88.2,57.67
2023-01-05 20:00:00,156.29,167.7,125.19,93.2,218.18,112.68,89.91,44.79,88.88,55.88
2023-01-05 21:00:00,134.54,150.56,120.03,82.68,185.41,98.41,81.72,41.63,76.14,47.41
2023-01-05 22:00:00,127.26,134.74,105.43,72.47,158.49,89.04,68.21,34.57,68.5,41.11
2023-01-05 23:00:00,111.57,116.0,91.59,63.97,145.42,81.0,66.76,33.7,63.52,39.59
2023-01-06 00:00:00,94.9,109.6,83.21,57.9,127.04,67.01,52.19,30.06,50.74,32.17
2023-01-06 01:00:00,92.64,105.82,77.71,55.47,117.15,64.53,56.16,28.16,54.61,33.46
2023-01-06 02:00:00,94.21,103.89,82.06,55.52,118.29,64.13,53.79,28.92,51.35,31.37
2023-01-06 03:00:00,87.99,104.21,80.14,54.46,120.61,65.11,57.08,28.5,48.05,32.13
2023-01-06 04:00:00,90.85,94.32,81.97,53.43,120.93,64.07,56.23,29.65,52.28,32.48
2023-01-06 05:00:00,95.8,106.72,79.06,54.95,122.89,63.57,54.11,30.36,50.5,33.96
2023-01-06 06:00:00,87.56,99.68,80.2,51.77,118.57,64.69,53.9,27.88,48.28,32.39
2023-01-06 07:00:00,97.44,105.24,78.86,51.07,117.38,65.33,53.1,29.98,53.97,33.53
2023-01-06 08:00:00,88.96,99.21,72.21,54.46,121.32,67.06,52.35,28.44,55.03,32.04
2023-01-06 09:00:00,97.61,107.49,85.64,52.83,121.9,68.39,54.15,29.88,51.91,33.83
2023-01-06 10:00:00,93.18,102.96,81.85,55.2,131.17,62.64,56.41,28.25,54.71,33.34
2023-01-06 11:00:00,100.9,106.53,82.3,55.22,124.08,72.5,57.56,28.9,53.67,35.03
2023-01-06 12:00:00,103.23,118.3,85.58,63.0,125.06,68.01,61.5,33.24,55.46,38.87
2023-01-06 13:00:00,104.86,125.3,90.49,61.85,146.99,78.81,65.4,31.77,62.61,37.43
2023-01-06 14:00:00,128.45,128.01,100.65,72.06,157.93,84.73,66.78,36.52,70.57,42.94
2023-01-06 15:00:00,145.7,147.86,116.05,83.09,168.15,95.11,81.34,38.73,73.5,48.5
2023-01-06 16:00:00,154.52,170.4,133.51,82.88,194.82,107.79,86.22,45.88,93.47,58.23
2023-01-06 17:00:00,165.71,181.33,141.22,100.85,200.66,116.53,92.12,53.94,91.28,60.32
2023-01-06 18:00:00,171.04,193.27,144.76,99.49,217.04,123.86,97.23,54.49,99.35,59.28
2023-01-06 19:00:00,161.6,178.45,143.69,99.5,224.98,117.61,100.6,51.03,97.18,57.93
2023-01-06 20:00:00,160.83,158.13,126.27,93.17,199.56,107.65,93.02,47.19,85.81,53.37
2023-01-06 21:00:00,136.07,146.73,120.06,77.91,184.41,92.92,83.14,41.95,72.27,47.84
2023-01-06 22:00:00,122.85,133.62,101.42,69.77,163.25,85.68,71.09,38.76,66.43,46.56
2023-01-06 23:00:00,107.75,123.43,94.58,67.27,140.43,67.51,62.61,32.91,60.28,38.65
2023-01-07 00:00:00,83.27,95.46,69.63,49.67,106.52,57.32,48.89,25.09,47.82,30.07
2023-01-07 01:00:00,81.33,97.1,73.5,48.21,103.83,62.34,48.53,24.28,48.01,30.92
2023-01-07 02:00:00,88.89,93.8,68.35,51.75,107.93,56.65,50.81,25.35,49.59,29.19
2023-01-07 03:00:00,84.68,92.38,75.72,48.57,107.59,57.3,49.91,25.96,47.56,29.88
2023-01-07 04:00:00,88.02,95.42,70.04,51.77,109.46,60.61,50.73,25.66,49.51,28.9
2023-01-07 05:00:00,85.18,92.71,70.07,51.99,110.37,59.85,51.74,26.2,49.81,31.5
2023-01-07 06:00:00,83.08,91.52,69.29,50.3,113.33,62.95,48.47,25.0,47.06,29.94
2023-01-07 07:00:00,84.2,91.55,68.58,52.16,114.64,62.09,50.43,25.85,48.6,31.1
2023-01-07 08:00:00,83.6,96.21,70.6,49.98,102.39,54.62,52.45,27.27,46.47,28.79
2023-01-07 09:00:00,85.6,98.38,67.82,48.96,108.04,58.62,49.77,25.92,48.0,29.81
2023-01-07 10:00:00,85.28,98.78,74.71,49.6,106.16,60.78,49.95,25.92,49.1,30.16
2023-01-07 11:00:00,87.47,91.19,73.54,51.34,108.77,64.92,51.12,29.6,45.93,30.28
2023-01-07 12:00:00,88.02,104.93,71.64,54.16,114.75,65.35,54.55,28.46,53.87,33.14
2023-01-07 13:00:00,96.92,104.72,83.43,57.97,132.55,68.34,58.29,29.08,53.27,33.39
2023-01-07 14:00:00,117.18,119.59,94.22,68.78,140.12,83.09,61.65,32.1,62.88,39.54
2023-01-07 15:00:00,121.9,139.21,105.04,71.21,155.36,88.58,69.39,36.68,71.1,46.15
2023-01-07 16:00:00,134.25,145.21,114.15,80.08,172.75,100.4,79.49,41.71,76.88,46.33
2023-01-07 17:00:00,152.36,157.48,125.07,90.17,194.32,112.71,93.11,45.12,87.94,54.85
2023-01-07 18:00:00,162.42,164.72,117.86,88.49,202.8,107.86,88.98,46.75,88.55,56.19
2023-01-07 19:00:00,142.92,174.27,119.87,90.48,190.82,103.57,88.37,47.72,89.27,54.22
2023-01-07 20:00:00,138.37,158.06,107.42,84.3,167.02,97.49,81.29,42.25,82.72,48.03
2023-01-07 21:00:00,122.07,132.12,99.17,70.31,162.94,81.04,70.81,35.09,73.51,41.81
2023-01-07 22:00:00,103.94,121.63,94.64,62.65,153.78,81.4,65.3,34.09,60.03,38.16
2023-01-07 23:00:00,102.31,109.51,86.8,57.8,129.11,76.06,58.45,29.12,55.33,36.91
2023-01-08 00:00:00,85.07,94.06,74.74,49.98,110.35,56.78,47.5,25.85,46.71,29.49
2023-01-08 01:00:00,85.35,90.72,69.52,48.52,106.64,59.32,48.52,26.1,47.44,29.67
2023-01-08 02:00:00,82.9,97.73,72.1,48.02,108.43,58.56,48.33,25.73,45.9,29.36
2023-01-08 03:00:00,86.5,91.8,70.25,46.44,108.48,60.22,52.46,26.64,47.06,27.74
2023-01-08 04:00:00,83.53,95.71,72.01,49.06,113.98,59.5,47.89,24.29,48.26,27.23
2023-01-08 05:00:00,84.72,87.56,71.52,50.78,114.95,58.48,47.76,24.26,47.62,27.89
2023-01-08 06:00:00,81.85,94.33,69.02,50.16,110.02,53.05,52.37,25.6,47.97,30.42
2023-01-08 07:00:00,81.55,93.55,73.91,48.9,105.26,61.74,52.78,27.87,49.12,30.38
2023-01-08 08:00:00,89.26,97.62,70.01,52.45,103.52,61.0,51.18,24.68,47.08,27.78
2023-01-08 09:00:00,84.06,85.02,69.93,48.69,106.71,60.91,49.89,26.26,49.24,30.77
2023-01-08 10:00:00,87.3,96.27,71.45,51.44,103.04,63.74,47.09,25.62,46.94,29.84
2023-01-08 11:00:00,88.29,99.35,72.11,52.09,108.15,64.02,49.2,29.6,50.53,29.14
2023-01-08 12:00:00,91.05,100.13,72.56,53.26,119.77,67.33,56.62,27.77,51.56,32.76
2023-01-08 13:00:00,97.97,114.02,82.9,60.87,130.99,71.5,58.02,30.88,51.02,33.75
2023-01-08 14:00:00,113.21,129.96,93.77,65.22,148.0,77.62,61.54,33.12,64.35,40.45
2023-01-08 15:00:00,123.51,140.62,106.9,73.05,163.03,85.0,69.73,37.16,76.33,45.71
2023-01-08 16:00:00,138.65,156.65,115.12,81.21,175.22,97.95,82.73,43.29,81.49,48.75
2023-01-08 17:00:00,150.7,172.33,132.96,90.73,196.59,102.79,86.12,46.56,84.86,50.22
2023-01-08 18:00:00,161.17,171.77,126.54,92.79,184.27,108.4,95.83,44.16,84.86,54.07
2023-01-08 19:00:00,154.17,171.63,123.28,89.77,192.07,107.98,89.05,43.78,81.06,52.95
2023-01-08 20:00:00,141.26,155.53,106.8,81.87,170.94,95.34,78.56,42.88,78.88,47.84
2023-01-08 21:00:00,122.37,133.15,110.28,77.0,158.64,83.32,74.58,36.28,68.26,44.96
2023-01-08 22:00:00,105.41,116.6,96.19,66.06,137.92,78.14,67.33,31.74,62.84,36.75
2023-01-08 23:00:00,103.06,113.49,87.23,56.55,124.82,67.8,57.39,30.25,56.41,33.71
2023-01-09 00:00:00,97.8,105.55,74.73,54.27,120.26,65.55,54.14,29.53,51.32,30.77
2023-01-09 01:00:00,94.13,100.96,80.98,56.88,118.65,66.43,58.23,29.52,51.79,33.2
2023-01-09 02:00:00,96.39,103.48,74.51,54.76,126.34,65.8,52.65,27.95,52.5,32.65
2023-01-09 03:00:00,97.19,108.69,82.31,56.56,121.79,65.06,53.24,27.56,50.34,32.98
2023-01-09 04:00:00,97.35,97.18,78.66,56.29,132.89,63.29,53.06,26.05,53.23,32.68
2023-01-09 05:00:00,97.65,100.12,77.91,52.68,118.58,67.38,52.56,27.89,50.12,32.43
2023-01-09 06:00:00,93.1,105.92,79.18,57.22,124.9,61.62,55.0,28.49,54.75,33.95
2023-01-09 07:00:00,99.66,106.41,78.41,56.9,126.85,64.8,57.58,29.51,55.72,32.91
2023-01-09 08:00:00,90.62,99.3,83.51,55.1,116.72,65.45,53.8,29.44,53.26,33.4
2023-01-09 09:00:00,97.96,100.3,82.61,56.73,131.54,65.49,53.53,28.3,53.77,33.64
2023-01-09 10:00:00,97.68,105.54,76.12,55.57,123.47,65.4,56.87,29.33,49.77,32.06
2023-01-09 11:00:00,101.22,112.63,84.62,59.63,126.42,66.77,54.7,28.87,54.34,34.78
2023-01-09 12:00:00,109.52,112.35,78.55,57.42,131.82,74.51,63.45,32.24,58.61,37.38
2023-01-09 13:00:00,116.58,111.26,98.61,64.82,140.28,83.49,66.2,33.96,60.77,37.45
2023-01-09 14:00:00,118.14,139.35,101.0,70.35,156.36,83.3,74.27,37.03,65.99,44.31
2023-01-09 15:00:00,130.5,151.47,114.77,79.63,163.48,98.83,86.34,43.0,74.68,48.6
2023-01-09 16:00:00,159.31,166.54,129.17,95.46,201.69,106.37,86.56,45.8,92.0,56.74
2023-01-09 17:00:00,161.37,175.41,151.0,101.51,225.23,124.83,96.51,48.14,96.46,57.23
2023-01-09 18:00:00,171.93,195.84,147.35,99.97,225.34,122.56,103.64,50.8,98.35,59.57
2023-01-09 19:00:00,172.23,184.56,139.63,95.69,202.36,114.22,95.03,51.13,87.43,58.07
2023-01-09 20:00:00,145.97,171.66,132.07,92.84,193.56,108.83,88.17,45.16,85.04,54.73
2023-01-09 21:00:00,128.46,153.44,114.37,78.08,174.53,95.0,77.72,42.38,79.65,48.78
2023-01-09 22:00:00,124.19,136.56,106.33,69.72,159.39,89.53,70.89,38.15,71.72,42.52
2023-01-09 23:00:00,111.0,124.67,90.68,62.47,140.55,80.22,68.32,32.24,62.04,36.86
2023-01-10 00:00:00,93.79,109.59,77.96,55.53,117.55,67.36,56.0,27.11,54.46,33.73
2023-01-10 01:00:00,94.73,99.54,78.17,55.17,118.3,64.85,52.95,27.64,53.55,34.57
2023-01-10 02:00:00,91.75,103.11,82.29,52.68,113.23,65.22,56.27,28.75,51.05,31.96
2023-01-10 03:00:00,89.59,101.74,79.51,53.84,123.88,68.67,55.47,27.85,49.95,31.09
2023-01-10 04:00:00,94.05,109.48,78.39,55.25,119.49,69.47,55.55,28.6,51.34,33.46
2023-01-10 05:00:00,91.38,102.34,74.86,55.28,124.01,66.33,53.51,26.78,51.55,34.22
2023-01-10 06:00:00,89.17,97.56,81.67,56.6,116.82,65.79,56.37,28.57,52.38,34.4
2023-01-10 07:00:00,96.32,103.33,78.02,55.0,120.93,67.55,56.48,27.3,53.78,33.71
2023-01-10 08:00:00,94.55,100.89,79.94,55.49,112.27,67.19,52.77,26.87,52.84,33.97
2023-01-10 09:00:00,96.44,101.23,78.71,54.51,125.98,63.24,54.71,29.88,55.04,33.78
2023-01-10 10:00:00,92.69,103.29,81.1,55.55,122.35,69.54,57.12,28.36,53.04,31.24
2023-01-10 11:00:00,95.96,102.42,82.74,59.91,127.95,67.7,55.6,29.38,56.24,34.82
2023-01-10 12:00:00,99.16,104.69,80.88,60.77,136.25,75.15,60.77,31.54,58.27,34.82
2023-01-10 13:00:00,107.38,129.39,86.96,66.02,141.45,77.01,64.87,33.73,60.71,39.96
2023-01-10 14:00:00,123.92,133.9,101.94,70.25,160.06,86.38,70.07,35.6,68.54,45.89
2023-01-10 15:00:00,134.9,146.61,109.03,75.85,167.82,99.8,84.31,40.19,74.11,48.88
2023-01-10 16:00:00,156.81,172.95,132.4,87.43,189.37,102.31,87.34,47.3,88.87,54.19
2023-01-10 17:00:00,169.3,191.39,139.93,96.45,203.81,123.77,102.57,52.74,91.89,57.94
2023-01-10 18:00:00,184.19,176.46,149.28,103.81,222.12,115.04,87.39,50.14,99.18,60.19
2023-01-10 19:00:00,159.15,179.98,143.27,98.12,218.75,119.39,99.91,49.63,90.26,55.97
2023-01-10 20:00:00,159.69,170.93,132.23,89.04,188.33,114.65,92.5,49.28,80.38,52.37
2023-01-10 21:00:00,138.27,147.09,113.22,81.08,172.64,97.66,82.48,40.17,77.26,48.64
2023-01-10 22:00:00,123.01,136.62,103.83,72.65,159.26,91.09,70.74,38.91,70.88,43.47
2023-01-10 23:00:00,105.2,115.86,95.49,65.34,141.73,79.19,65.34,30.85,60.7,40.01
2023-01-11 00:00:00,93.08,100.97,81.81,56.94,121.07,62.65,51.26,28.06,53.48,33.9
2023-01-11 01:00:00,97.06,102.94,79.75,55.68,121.8,67.64,53.42,27.57,51.69,32.95
2023-01-11 02:00:00,94.33,104.93,78.69,53.55,118.68,67.4,54.84,30.34,47.38,32.76
2023-01-11 03:00:00,94.87,103.52,77.11,52.44,124.79,68.39,54.91,29.66,52.47,33.21
2023-01-11 04:00:00,93.64,100.91,78.11,53.25,119.92,65.91,56.34,28.53,52.09,32.75
2023-01-11 05:00:00,98.42,102.05,77.67,56.8,122.56,62.07,54.21,28.43,52.81,34.95
2023-01-11 06:00:00,94.54,95.73,82.08,57.94,121.27,66.06,55.63,29.41,52.5,31.34
2023-01-11 07:00:00,87.35,111.16,82.3,54.04,131.46,68.3,54.94,28.97,52.48,31.32
2023-01-11 08:00:00,92.45,102.06,78.65,58.46,123.8,63.08,53.3,28.39,53.21,32.77
2023-01-11 09:00:00,88.54,102.84,77.8,55.92,127.46,72.22,55.89,28.67,51.2,33.52
2023-01-11 10:00:00,85.09,105.9,82.37,55.93,122.73,65.82,59.39,29.51,53.2,32.36
2023-01-11 11:00:00,96.4,109.48,85.67,57.58,120.2,71.73,60.45,30.23,51.62,33.31
2023-01-11 12:00:00,107.55,113.64,87.76,60.86,130.53,75.16,62.56,31.94,60.03,36.33
2023-01-11 13:00:00,111.01,118.23,88.64,63.35,141.59,77.37,70.85,32.91,63.18,39.47
2023-01-11 14:00:00,118.02,126.68,97.09,71.8,150.67,84.14,75.21,37.55,66.15,45.26
2023-01-11 15:00:00,134.13,150.64,122.37,80.44,179.09,92.44,76.35,43.32,79.98,48.36
2023-01-11 16:00:00,161.01,164.51,133.54,82.32,203.26,103.23,89.97,46.18,81.96,52.65
2023-01-11 17:00:00,168.23,179.29,137.53,96.37,201.69,118.91,96.58,53.03,97.42,58.38
2023-01-11 18:00:00,172.29,187.94,143.52,105.29,242.82,120.2,101.59,49.74,100.23,57.75
2023-01-11 19:00:00,167.0,184.37,139.32,99.88,216.8,123.03,88.33,46.18,98.09,60.45
2023-01-11 20:00:00,155.09,176.91,129.65,88.44,192.37,102.18,91.19,46.96,85.13,58.94
